/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,115,671,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,132,884,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,158,926,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,188,473,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,270,1131,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,298,1315,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,302,1055,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,338,1170,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,343,1419,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,378,1173,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,407,360,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,410,1197,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,437,1416,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,435,1584,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,464,248,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,466,1484,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,479,1062,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,504,1541,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,508,1269,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,536,1457,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,562,1589,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,581,705,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,582,1409,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,594,1347,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,599,1452,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,599,1252,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,600,1287,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,604,1539,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,610,836,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,634,1713,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,637,1469,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,656,424,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,677,839,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,678,1517,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,683,1173,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,696,1560,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,697,1298,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,724,1728,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,723,1389,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,739,1112,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,746,1176,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,754,1028,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,754,1465,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,751,1543,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,755,2241,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,765,1637,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,779,1404,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,788,1522,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,794,1016,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,797,1699,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,808,1903,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,809,2163,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,815,1796,60,60
/media/fillan/LINUX MINT/ML/FoxP2/Image 1 Rescaled.tif,2533,3689,Cell,819,2004,60,60
